		00:03:52:29:ca:d1	00:03:52:29:ca:d2	00:03:52:2b:84:01	00:03:52:2b:84:02	00:03:52:2b:85:51	00:03:52:2b:85:52	00:03:52:2b:89:c1	00:03:52:2b:89:c2	00:03:52:78:55:01	00:03:52:78:55:02	00:03:52:78:62:c1	00:03:52:78:62:c2	00:03:52:96:ac:51	00:03:52:96:ac:52	00:03:52:96:ba:11	00:03:52:96:ba:12	00:03:52:e3:85:51	00:03:52:e3:85:52	00:03:52:e3:89:c1	00:03:52:e3:89:c2	00:03:52:e3:8b:11	00:03:52:e3:8b:12	00:03:52:e5:44:41	00:03:52:e5:44:42	00:0e:a6:3f:d7:00	00:12:0e:78:58:34	00:18:0a:35:58:14	00:19:a9:40:40:20	00:19:a9:40:40:21	00:19:a9:40:40:22	00:19:a9:40:40:23	00:19:a9:40:40:24	00:19:a9:40:40:25	00:19:a9:40:40:2a	00:19:a9:40:40:2c	00:19:a9:40:40:2d	00:19:a9:40:40:2f	00:21:d8:e0:0a:b0	00:21:d8:e0:0a:b1	00:21:d8:e0:0a:b2	00:21:d8:e0:0a:b3	00:21:d8:e0:0a:b4	00:21:d8:e0:0a:b5	00:21:d8:e0:0a:b6	00:21:d8:e0:0a:c0	00:21:d8:e0:0a:c1	00:21:d8:e0:0a:c2	00:21:d8:e0:0a:c3	00:21:d8:e0:0a:c4	00:21:d8:e0:0a:c5	00:21:d8:e0:0a:c6	00:23:33:a2:48:b0	00:23:33:a2:48:b1	00:23:33:a2:48:b2	00:23:33:a2:48:b3	00:23:33:a2:48:b4	00:23:33:a2:48:b5	00:23:33:a2:48:ba	00:23:33:a2:48:bc	00:23:33:a2:48:bd	00:23:33:a2:48:bf	00:26:f2:14:f0:42	00:3a:99:04:6a:10	00:3a:99:04:6a:11	00:3a:99:04:6a:12	00:3a:99:04:6a:13	00:3a:99:04:6a:14	00:3a:99:04:6a:15	00:3a:9a:4e:81:e0	00:3a:9a:4e:81:e1	00:3a:9a:4e:81:e2	00:3a:9a:4e:81:e3	00:3a:9a:4e:81:e4	00:3a:9a:4e:81:e5	00:3a:9a:51:ab:50	00:3a:9a:51:ab:51	00:3a:9a:51:ab:52	00:3a:9a:51:ab:53	00:3a:9a:51:ab:54	00:3a:9a:51:ab:55	00:3a:9a:51:ab:5a	00:3a:9a:51:ab:5c	00:3a:9a:51:ab:5d	00:3a:9a:51:ab:5f	00:3a:9a:51:b2:b0	00:3a:9a:51:b2:b1	00:3a:9a:51:b2:b2	00:3a:9a:51:b2:b3	00:3a:9a:51:b2:b4	00:3a:9a:51:b2:b5	06:18:0a:35:58:14	16:18:0a:35:58:14	1a:72:b7:27:46:c0	1e:77:1c:44:c4:45	20:4e:7f:5a:e6:68	20:4e:7f:5a:fc:88	20:c9:d0:19:33:83	20:c9:d0:19:33:84	28:c6:8e:19:a6:56	48:f8:b3:84:82:eb	48:f8:b3:84:82:ec	70:56:81:c9:11:eb	74:ea:3a:d6:67:04	88:51:fb:8a:bc:40	88:51:fb:8a:bc:41	88:51:fb:8a:bc:50	88:51:fb:8a:bc:51	8c:2d:aa:52:94:ab	9e:6c:04:9c:49:c5	ae:18:26:2b:1e:95	c0:3f:0e:c4:b2:bc	c0:3f:0e:c4:c8:b2	c8:cb:b8:9e:01:60	c8:cb:b8:9e:01:61	c8:cb:b8:ec:1b:40	c8:cb:b8:ec:1b:41	c8:cb:b8:ec:1b:50	c8:cb:b8:ec:1b:51	c8:cb:b8:f9:8d:c0	c8:cb:b8:f9:8d:c1	c8:cb:b8:f9:8d:d0	c8:cb:b8:f9:8d:d1	d8:30:62:31:7e:27	d8:9d:67:91:d0:f0	d8:9d:67:91:d0:f1	e8:39:35:64:4a:a0	e8:39:35:64:4a:a1
0.6	0.6	-100	-100	-100	-100	-82	-82	-100	-100	-100	-100	-84	-83	-100	-100	-100	-100	-100	-100	-100	-79	-100	-100	-100	-100	-100	-77	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-85	-100	-85	-83	-83	-90	-100	-100	-100	-100	-91	-100	-84	-85	-83	-83	-83	-88	-100	-91	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-88	-86	-100	-100	-100	-78	-100	-100	-89	-100	-100	-100	-100	-80	-92	-100	-100	-100	-87	-87	-100	-100	-100	-100	-71	-71	-60	-100	-78	-100	-100	-86	-86
1.2	0.6	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
1.8	0.6	-100	-100	-100	-100	-90	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-87	-100	-100	-100	-100	-100	-75	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-85	-100	-85	-83	-83	-82	-100	-100	-100	-100	-100	-100	-83	-100	-100	-100	-85	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-75	-100	-100	-100	-100	-100	-100	-100	-74	-92	-100	-100	-100	-100	-100	-100	-100	-100	-100	-70	-69	-66	-100	-100	-100	-100	-86	-86
0.6	1.2	-100	-100	-100	-100	-88	-87	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-87	-100	-100	-100	-100	-100	-75	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-85	-100	-85	-83	-83	-82	-100	-100	-100	-100	-100	-100	-83	-84	-100	-100	-85	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-79	-100	-100	-100	-100	-100	-100	-100	-80	-92	-100	-100	-100	-100	-100	-100	-100	-100	-100	-70	-75	-69	-100	-81	-100	-100	-86	-86
1.8	1.2	-100	-100	-100	-100	-80	-82	-100	-100	-100	-100	-84	-83	-100	-100	-100	-100	-100	-100	-100	-79	-100	-100	-100	-100	-100	-81	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-90	-100	-100	-100	-100	-91	-100	-84	-85	-83	-83	-83	-88	-100	-91	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-80	-86	-100	-100	-100	-75	-100	-100	-89	-100	-100	-100	-100	-72	-89	-100	-100	-100	-87	-87	-100	-100	-100	-100	-71	-71	-65	-63	-83	-100	-100	-100	-100
0.6	1.8	-100	-100	-100	-100	-86	-86	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-87	-100	-100	-100	-100	-100	-79	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-85	-100	-85	-83	-83	-90	-100	-100	-100	-100	-91	-100	-84	-85	-83	-83	-83	-89	-100	-91	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-87	-100	-100	-100	-100	-100	-100	-100	-80	-92	-100	-100	-100	-100	-91	-100	-100	-100	-100	-68	-68	-64	-100	-78	-100	-100	-86	-86
1.8	1.8	-100	-100	-100	-100	-81	-85	-100	-100	-100	-100	-84	-83	-100	-100	-100	-100	-100	-100	-100	-79	-100	-100	-100	-100	-100	-79	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-87	-100	-90	-100	-100	-100	-100	-91	-86	-86	-85	-83	-84	-83	-88	-100	-91	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-80	-86	-100	-100	-100	-80	-100	-100	-89	-100	-100	-84	-85	-73	-89	-100	-100	-100	-87	-87	-100	-100	-100	-100	-68	-68	-65	-64	-83	-100	-100	-100	-100
2.4	1.8	-100	-100	-100	-100	-80	-79	-100	-100	-100	-100	-88	-87	-100	-100	-100	-100	-100	-100	-84	-84	-100	-100	-100	-100	-100	-79	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-80	-83	-83	-81	-79	-83	-100	-100	-100	-100	-100	-82	-82	-85	-83	-84	-82	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-87	-83	-100	-100	-100	-82	-100	-100	-87	-100	-100	-100	-88	-73	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-68	-68	-66	-65	-84	-100	-100	-80	-78
0.6	2.4	-100	-100	-100	-100	-86	-85	-100	-100	-100	-100	-88	-87	-100	-100	-100	-100	-100	-100	-88	-88	-100	-100	-100	-100	-100	-79	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-83	-83	-83	-85	-84	-83	-100	-100	-100	-100	-100	-100	-83	-85	-85	-89	-82	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-83	-78	-100	-100	-100	-80	-100	-100	-87	-100	-100	-100	-88	-77	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-72	-72	-67	-67	-83	-100	-100	-82	-82
1.8	2.4	-100	-100	-100	-100	-81	-86	-100	-100	-100	-100	-84	-83	-100	-100	-100	-100	-100	-100	-100	-89	-100	-100	-100	-100	-100	-80	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-87	-100	-100	-100	-100	-100	-100	-100	-86	-86	-85	-100	-84	-83	-88	-85	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-80	-86	-100	-100	-100	-84	-86	-100	-89	-100	-85	-84	-85	-69	-89	-100	-100	-100	-87	-87	-100	-100	-100	-100	-71	-71	-65	-64	-84	-100	-100	-83	-70
