35.400005	4.8
W (c8:cb:b8:f9:8d:c5,-56),(c8:cb:b8:f9:8d:c7,-55),(c8:cb:b8:f9:8d:c2,-55),(c8:cb:b8:f9:8d:c0,-55),(88:51:fb:8a:bc:40,-38),(88:51:fb:8a:bc:47,-38),(88:51:fb:8a:bc:45,-38),(88:51:fb:8a:bc:42,-38),(c8:cb:b8:f9:8d:c3,-55),(c8:cb:b8:f9:8d:c6,-56),(c8:cb:b8:f9:8d:c4,-55),(c8:cb:b8:f9:8d:c1,-55),(88:51:fb:8a:bc:43,-38),(88:51:fb:8a:bc:46,-37),(88:51:fb:8a:bc:41,-37),(88:51:fb:8a:bc:44,-37),(88:51:fb:8a:bc:55,-29),(88:51:fb:8a:bc:56,-31),(88:51:fb:8a:bc:57,-31),(88:51:fb:8a:bc:51,-52),(88:51:fb:8a:bc:54,-27),(88:51:fb:8a:bc:52,-57),(88:51:fb:8a:bc:50,-30),(88:51:fb:8a:bc:53,-30),(20:c9:d0:19:33:83,-54),(d8:9d:67:91:d0:f1,-41),(00:23:33:a2:48:b7,-67),(00:23:33:a2:48:b3,-66),(00:23:33:a2:48:b4,-66),(00:23:33:a2:48:b1,-74),(00:23:33:a2:48:b2,-73),(d8:9d:67:91:d0:f0,-42),(d8:9d:67:91:d0:f2,-42),(00:03:52:e3:8b:15,-64),(00:03:52:e3:8b:11,-63),(d8:9d:67:91:d0:f3,-41),(00:03:52:e3:8b:12,-63),(00:03:52:e3:8b:18,-64),(00:03:52:e3:8b:16,-64),(00:23:33:a2:48:bd,-62),(00:23:33:a2:48:bc,-63),(00:23:33:a2:48:b8,-62),(00:23:33:a2:48:b9,-62),(c8:cb:b8:f9:8d:d7,-72),(c8:cb:b8:f9:8d:d0,-75),(c8:cb:b8:f9:8d:d6,-76),(c8:cb:b8:f9:8d:d3,-73),(c8:cb:b8:f9:8d:d2,-74),(c8:cb:b8:f9:8d:d4,-79),(c8:cb:b8:f9:8d:d1,-72),(00:03:52:e5:44:46,-66),(00:03:52:2b:84:01,-62),(c8:cb:b8:f9:8d:d5,-74),(00:03:52:2b:84:02,-62),(00:03:52:2b:84:06,-63),(00:03:52:e5:44:42,-65),(00:03:52:e5:44:41,-67),(00:03:52:2b:84:05,-62),(00:03:52:e5:44:49,-67),(00:03:52:e5:44:48,-65),(00:03:52:2b:89:c9,-73),(00:03:52:e3:85:51,-65),(2c:30:33:1d:9d:cc,-73),(00:03:52:2b:89:c1,-73),(00:03:52:2b:89:c5,-74),(d8:9d:67:91:d0:f6,-47),(00:03:52:2b:89:c8,-75),(00:03:52:2b:89:c6,-74),(00:03:52:2b:89:c2,-73),(00:23:33:a2:48:b6,-73),(00:03:52:29:ca:d5,-78),(20:4c:9e:ea:10:16,-72),(20:4c:9e:ea:10:1d,-67),(20:4c:9e:ea:10:1c,-72),(00:03:52:e3:85:55,-67),(00:1e:4a:56:20:4d,-75),(bc:f1:f2:2f:7b:dd,-73),(bc:f1:f2:2f:7b:dc,-73),(20:4c:9e:a3:ff:86,-78),(20:4c:9e:a3:ff:8c,-78),(bc:f1:f2:2f:7b:d8,-73),(20:4c:9e:ea:10:19,-72),(bc:f1:f2:2f:7b:d9,-74),(20:4c:9e:a3:ff:89,-77),(00:03:52:29:ca:d1,-72),(00:3a:9a:51:ab:54,-77),(00:03:52:29:ca:d9,-71),(00:1e:4a:56:20:49,-78),(00:03:52:29:ca:d8,-73),(00:03:52:e3:89:c6,-86),(d8:9d:67:91:d0:f5,-40),(00:03:52:e5:44:45,-66),(20:4c:9e:a3:ff:8d,-77),(00:3a:9a:51:ab:53,-75),(00:3a:9a:51:ab:52,-75),(d8:9d:67:91:d0:f4,-40),(00:03:52:2b:84:08,-62),(00:03:52:e3:85:52,-67),(00:03:52:e3:89:c8,-88),

W (c8:cb:b8:f9:8d:c5,-56),(c8:cb:b8:f9:8d:c7,-55),(c8:cb:b8:f9:8d:c2,-55),(c8:cb:b8:f9:8d:c0,-55),(88:51:fb:8a:bc:40,-40),(88:51:fb:8a:bc:47,-40),(88:51:fb:8a:bc:45,-38),(88:51:fb:8a:bc:42,-38),(c8:cb:b8:f9:8d:c3,-54),(c8:cb:b8:f9:8d:c6,-56),(c8:cb:b8:f9:8d:c4,-55),(c8:cb:b8:f9:8d:c1,-55),(88:51:fb:8a:bc:43,-40),(88:51:fb:8a:bc:46,-38),(88:51:fb:8a:bc:41,-38),(88:51:fb:8a:bc:44,-40),(88:51:fb:8a:bc:55,-30),(88:51:fb:8a:bc:56,-31),(88:51:fb:8a:bc:57,-51),(88:51:fb:8a:bc:51,-35),(88:51:fb:8a:bc:54,-30),(88:51:fb:8a:bc:52,-57),(88:51:fb:8a:bc:50,-30),(88:51:fb:8a:bc:53,-27),(20:c9:d0:19:33:83,-62),(d8:9d:67:91:d0:f1,-41),(00:23:33:a2:48:b7,-65),(00:23:33:a2:48:b3,-66),(00:23:33:a2:48:b4,-69),(00:23:33:a2:48:b1,-65),(00:23:33:a2:48:b2,-66),(d8:9d:67:91:d0:f0,-41),(d8:9d:67:91:d0:f2,-41),(00:03:52:e3:8b:15,-63),(00:03:52:e3:8b:11,-63),(d8:9d:67:91:d0:f3,-39),(00:03:52:e3:8b:12,-63),(00:03:52:e3:8b:18,-63),(00:03:52:e3:8b:16,-63),(00:23:33:a2:48:bd,-67),(00:23:33:a2:48:bc,-62),(00:23:33:a2:48:b8,-66),(00:23:33:a2:48:b9,-67),(c8:cb:b8:f9:8d:d7,-67),(c8:cb:b8:f9:8d:d0,-68),(c8:cb:b8:f9:8d:d3,-73),(c8:cb:b8:f9:8d:d2,-74),(c8:cb:b8:f9:8d:d4,-69),(c8:cb:b8:f9:8d:d1,-68),(00:03:52:e5:44:46,-68),(00:03:52:2b:84:01,-62),(c8:cb:b8:f9:8d:d5,-70),(00:03:52:2b:84:02,-60),(00:03:52:2b:84:06,-62),(00:03:52:e5:44:42,-65),(00:03:52:e5:44:41,-67),(00:03:52:2b:84:05,-62),(00:03:52:e5:44:49,-67),(00:03:52:e5:44:48,-67),(00:03:52:2b:89:c9,-73),(00:03:52:e3:85:51,-65),(00:03:52:2b:89:c1,-73),(00:03:52:2b:89:c5,-74),(00:03:52:2b:89:c8,-75),(00:03:52:2b:89:c6,-74),(00:03:52:2b:89:c2,-73),(00:23:33:a2:48:b6,-65),(20:4c:9e:ea:10:16,-71),(20:4c:9e:ea:10:1d,-71),(20:4c:9e:ea:10:1c,-71),(00:03:52:e3:85:55,-67),(00:1e:4a:56:20:4d,-75),(bc:f1:f2:2f:7b:dd,-73),(bc:f1:f2:2f:7b:dc,-73),(20:4c:9e:a3:ff:86,-78),(20:4c:9e:a3:ff:8c,-78),(bc:f1:f2:2f:7b:d8,-73),(20:4c:9e:ea:10:19,-71),(bc:f1:f2:2f:7b:d9,-74),(20:4c:9e:a3:ff:89,-77),(00:3a:9a:51:ab:54,-74),(00:03:52:29:ca:d9,-71),(00:03:52:29:ca:d8,-73),(00:03:52:e3:89:c6,-86),(d8:9d:67:91:d0:f5,-40),(00:03:52:e5:44:45,-68),(20:4c:9e:a3:ff:8d,-77),(00:3a:9a:51:ab:53,-75),(00:3a:9a:51:ab:52,-75),(d8:9d:67:91:d0:f4,-40),(00:03:52:2b:84:08,-61),(00:03:52:e3:85:52,-67),(00:03:52:e3:89:c8,-88),(00:3a:9a:51:ab:5d,-76),(00:3a:9a:51:ab:5c,-79),(00:3a:9a:51:ab:51,-78),(bc:f1:f2:23:f6:a0,-88),(00:03:52:29:ca:d6,-80),(bc:f1:f2:23:f7:43,-82),(bc:f1:f2:23:f6:a3,-90),

W (c8:cb:b8:f9:8d:c5,-56),(c8:cb:b8:f9:8d:c7,-55),(c8:cb:b8:f9:8d:c2,-56),(c8:cb:b8:f9:8d:c0,-55),(88:51:fb:8a:bc:40,-42),(88:51:fb:8a:bc:47,-41),(88:51:fb:8a:bc:45,-41),(88:51:fb:8a:bc:42,-38),(c8:cb:b8:f9:8d:c3,-55),(c8:cb:b8:f9:8d:c6,-55),(c8:cb:b8:f9:8d:c4,-55),(c8:cb:b8:f9:8d:c1,-55),(88:51:fb:8a:bc:43,-41),(88:51:fb:8a:bc:46,-38),(88:51:fb:8a:bc:41,-41),(88:51:fb:8a:bc:44,-41),(88:51:fb:8a:bc:55,-30),(88:51:fb:8a:bc:56,-27),(88:51:fb:8a:bc:57,-31),(88:51:fb:8a:bc:51,-31),(88:51:fb:8a:bc:54,-27),(88:51:fb:8a:bc:52,-36),(88:51:fb:8a:bc:50,-30),(88:51:fb:8a:bc:53,-27),(20:c9:d0:19:33:83,-51),(d8:9d:67:91:d0:f1,-41),(00:23:33:a2:48:b7,-68),(00:23:33:a2:48:b3,-70),(00:23:33:a2:48:b4,-69),(00:23:33:a2:48:b1,-68),(00:23:33:a2:48:b2,-68),(d8:9d:67:91:d0:f0,-45),(d8:9d:67:91:d0:f2,-42),(00:03:52:e3:8b:15,-63),(00:03:52:e3:8b:11,-63),(d8:9d:67:91:d0:f3,-42),(00:03:52:e3:8b:12,-63),(00:03:52:e3:8b:18,-63),(00:03:52:e3:8b:16,-63),(00:23:33:a2:48:bd,-64),(00:23:33:a2:48:bc,-63),(00:23:33:a2:48:b8,-62),(00:23:33:a2:48:b9,-63),(c8:cb:b8:f9:8d:d7,-66),(c8:cb:b8:f9:8d:d0,-73),(c8:cb:b8:f9:8d:d3,-70),(c8:cb:b8:f9:8d:d2,-68),(c8:cb:b8:f9:8d:d4,-66),(c8:cb:b8:f9:8d:d1,-72),(00:03:52:e5:44:46,-64),(00:03:52:2b:84:01,-62),(c8:cb:b8:f9:8d:d5,-71),(00:03:52:2b:84:02,-61),(00:03:52:2b:84:06,-61),(00:03:52:e5:44:42,-68),(00:03:52:e5:44:41,-63),(00:03:52:2b:84:05,-61),(00:03:52:e5:44:49,-70),(00:03:52:e5:44:48,-63),(00:03:52:2b:89:c9,-68),(00:03:52:e3:85:51,-69),(00:03:52:2b:89:c1,-75),(00:03:52:2b:89:c5,-67),(00:03:52:2b:89:c8,-69),(00:03:52:2b:89:c6,-74),(00:03:52:2b:89:c2,-74),(00:23:33:a2:48:b6,-69),(20:4c:9e:ea:10:16,-74),(20:4c:9e:ea:10:1d,-74),(20:4c:9e:ea:10:1c,-74),(20:4c:9e:ea:10:19,-74),(00:3a:9a:51:ab:54,-74),(00:03:52:29:ca:d8,-82),(d8:9d:67:91:d0:f5,-43),(00:03:52:e5:44:45,-63),(d8:9d:67:91:d0:f4,-41),(00:03:52:2b:84:08,-59),(00:03:52:e3:85:52,-67),(00:3a:9a:51:ab:5d,-75),(00:3a:9a:51:ab:5c,-79),(00:3a:9a:51:ab:51,-78),(bc:f1:f2:23:f6:a0,-88),(00:03:52:29:ca:d6,-79),(bc:f1:f2:23:f7:43,-82),(bc:f1:f2:23:f6:a3,-90),(d8:9d:67:91:d0:f7,-42),(bc:f1:f2:23:f7:44,-88),(d8:9d:67:91:d0:f6,-43),(c8:cb:b8:f9:8d:d6,-67),(00:03:52:e3:85:56,-71),(00:03:52:e3:85:58,-72),

W (c8:cb:b8:f9:8d:c5,-55),(c8:cb:b8:f9:8d:c7,-54),(c8:cb:b8:f9:8d:c2,-55),(c8:cb:b8:f9:8d:c0,-55),(88:51:fb:8a:bc:40,-38),(88:51:fb:8a:bc:47,-38),(88:51:fb:8a:bc:45,-40),(88:51:fb:8a:bc:42,-37),(c8:cb:b8:f9:8d:c3,-54),(c8:cb:b8:f9:8d:c6,-55),(c8:cb:b8:f9:8d:c4,-55),(c8:cb:b8:f9:8d:c1,-55),(88:51:fb:8a:bc:43,-40),(88:51:fb:8a:bc:46,-37),(88:51:fb:8a:bc:41,-40),(88:51:fb:8a:bc:44,-37),(88:51:fb:8a:bc:55,-30),(88:51:fb:8a:bc:56,-26),(88:51:fb:8a:bc:57,-30),(88:51:fb:8a:bc:51,-30),(88:51:fb:8a:bc:54,-29),(88:51:fb:8a:bc:52,-28),(88:51:fb:8a:bc:50,-30),(88:51:fb:8a:bc:53,-30),(20:c9:d0:19:33:83,-51),(d8:9d:67:91:d0:f1,-46),(00:23:33:a2:48:b7,-68),(00:23:33:a2:48:b3,-67),(00:23:33:a2:48:b4,-69),(00:23:33:a2:48:b1,-65),(00:23:33:a2:48:b2,-69),(d8:9d:67:91:d0:f0,-44),(d8:9d:67:91:d0:f2,-43),(00:03:52:e3:8b:15,-63),(00:03:52:e3:8b:11,-63),(d8:9d:67:91:d0:f3,-42),(00:03:52:e3:8b:12,-63),(00:03:52:e3:8b:18,-63),(00:03:52:e3:8b:16,-63),(00:23:33:a2:48:bd,-64),(00:23:33:a2:48:bc,-63),(00:23:33:a2:48:b8,-63),(00:23:33:a2:48:b9,-63),(c8:cb:b8:f9:8d:d7,-72),(c8:cb:b8:f9:8d:d0,-67),(c8:cb:b8:f9:8d:d3,-70),(c8:cb:b8:f9:8d:d2,-70),(c8:cb:b8:f9:8d:d4,-68),(c8:cb:b8:f9:8d:d1,-72),(00:03:52:e5:44:46,-63),(00:03:52:2b:84:01,-60),(c8:cb:b8:f9:8d:d5,-74),(00:03:52:2b:84:02,-57),(00:03:52:2b:84:06,-61),(00:03:52:e5:44:42,-67),(00:03:52:e5:44:41,-63),(00:03:52:2b:84:05,-61),(00:03:52:e5:44:49,-70),(00:03:52:e5:44:48,-68),(00:03:52:2b:89:c9,-72),(00:03:52:e3:85:51,-69),(00:03:52:2b:89:c1,-69),(00:03:52:2b:89:c5,-67),(00:03:52:2b:89:c8,-73),(00:03:52:2b:89:c6,-71),(00:03:52:2b:89:c2,-68),(00:23:33:a2:48:b6,-69),(20:4c:9e:ea:10:16,-72),(20:4c:9e:ea:10:1d,-72),(20:4c:9e:ea:10:1c,-72),(20:4c:9e:ea:10:19,-72),(00:3a:9a:51:ab:54,-74),(00:03:52:29:ca:d8,-82),(d8:9d:67:91:d0:f5,-41),(00:03:52:e5:44:45,-67),(d8:9d:67:91:d0:f4,-43),(00:03:52:2b:84:08,-59),(00:03:52:e3:85:52,-67),(00:3a:9a:51:ab:5d,-75),(00:3a:9a:51:ab:5c,-79),(00:3a:9a:51:ab:51,-77),(bc:f1:f2:23:f6:a0,-88),(00:03:52:29:ca:d6,-79),(bc:f1:f2:23:f7:43,-82),(bc:f1:f2:23:f6:a3,-90),(d8:9d:67:91:d0:f7,-43),(bc:f1:f2:23:f7:44,-88),(d8:9d:67:91:d0:f6,-43),(c8:cb:b8:f9:8d:d6,-71),(00:03:52:e3:85:56,-71),(00:03:52:e3:85:58,-72),(2c:30:33:1d:9d:cc,-68),(00:3a:9a:51:ab:56,-79),

36.000004	4.8
