0.0	5.4
W (c8:cb:b8:f9:8d:c5,-50),(c8:cb:b8:f9:8d:c7,-50),(c8:cb:b8:f9:8d:c2,-53),(c8:cb:b8:f9:8d:c0,-52),(c8:cb:b8:f9:8d:d0,-55),(c8:cb:b8:f9:8d:d2,-54),(88:51:fb:8a:bc:40,-71),(88:51:fb:8a:bc:47,-71),(88:51:fb:8a:bc:45,-70),(88:51:fb:8a:bc:42,-71),(c8:cb:b8:f9:8d:d7,-53),(c8:cb:b8:f9:8d:d5,-49),(88:51:fb:8a:bc:55,-75),(00:14:d1:50:31:1c,-58),(28:f0:76:1e:ad:3a,-57),(88:51:fb:8a:bc:52,-72),(88:51:fb:8a:bc:57,-73),(88:51:fb:8a:bc:50,-74),(c8:cb:b8:f9:8d:c3,-51),(c8:cb:b8:f9:8d:c6,-50),(c8:cb:b8:f9:8d:c4,-51),(c8:cb:b8:f9:8d:c1,-50),(c8:cb:b8:f9:8d:d3,-52),(c8:cb:b8:f9:8d:d1,-51),(88:51:fb:8a:bc:43,-71),(88:51:fb:8a:bc:46,-71),(c8:cb:b8:f9:8d:d4,-51),(88:51:fb:8a:bc:41,-72),(88:51:fb:8a:bc:44,-72),(c8:cb:b8:f9:8d:d6,-57),(00:22:6b:f4:34:8d,-53),(88:51:fb:8a:bc:51,-73),(88:51:fb:8a:bc:54,-72),(88:51:fb:8a:bc:53,-72),(00:03:52:2b:85:58,-76),(74:ea:3a:d6:67:04,-75),(00:03:52:e3:89:c9,-77),(00:03:52:2b:85:51,-73),(00:03:52:2b:85:55,-74),(00:03:52:e3:89:c1,-75),(bc:f1:f2:23:f7:44,-79),(bc:f1:f2:23:f7:42,-80),(88:51:fb:8a:bc:56,-74),(00:03:52:2b:85:59,-74),(00:03:52:2b:85:56,-75),(00:03:52:2b:85:52,-75),(00:03:52:e3:89:c6,-76),(00:03:52:e3:89:c2,-76),(00:03:52:e3:89:c8,-76),(bc:f1:f2:23:f7:43,-82),(00:03:52:2b:84:01,-84),(00:03:52:2b:84:05,-85),(00:3a:9a:4e:81:e1,-86),(00:03:52:2b:84:06,-83),(00:03:52:2b:84:08,-84),(00:03:52:2b:84:02,-85),

W (c8:cb:b8:f9:8d:c5,-50),(c8:cb:b8:f9:8d:c7,-53),(c8:cb:b8:f9:8d:c2,-51),(c8:cb:b8:f9:8d:c0,-51),(c8:cb:b8:f9:8d:d0,-54),(c8:cb:b8:f9:8d:d2,-54),(88:51:fb:8a:bc:40,-71),(88:51:fb:8a:bc:47,-68),(88:51:fb:8a:bc:45,-68),(88:51:fb:8a:bc:42,-71),(c8:cb:b8:f9:8d:d7,-69),(c8:cb:b8:f9:8d:d5,-57),(00:14:d1:50:31:1c,-63),(28:f0:76:1e:ad:3a,-63),(c8:cb:b8:f9:8d:c3,-51),(c8:cb:b8:f9:8d:c6,-52),(c8:cb:b8:f9:8d:c4,-52),(c8:cb:b8:f9:8d:c1,-50),(c8:cb:b8:f9:8d:d3,-52),(c8:cb:b8:f9:8d:d1,-55),(88:51:fb:8a:bc:43,-68),(88:51:fb:8a:bc:46,-68),(c8:cb:b8:f9:8d:d4,-54),(88:51:fb:8a:bc:41,-71),(88:51:fb:8a:bc:44,-72),(c8:cb:b8:f9:8d:d6,-60),(00:22:6b:f4:34:8d,-55),(74:ea:3a:d6:67:04,-85),(00:03:52:2b:84:01,-84),(00:03:52:2b:84:05,-85),(00:3a:9a:4e:81:e1,-86),(00:03:52:2b:84:06,-83),(00:03:52:2b:84:08,-84),(00:03:52:2b:84:02,-85),(00:14:6c:69:01:b8,-56),

W (c8:cb:b8:f9:8d:c5,-53),(c8:cb:b8:f9:8d:c7,-53),(c8:cb:b8:f9:8d:c2,-52),(c8:cb:b8:f9:8d:c0,-53),(c8:cb:b8:f9:8d:d0,-54),(c8:cb:b8:f9:8d:d2,-54),(88:51:fb:8a:bc:40,-70),(88:51:fb:8a:bc:47,-72),(88:51:fb:8a:bc:45,-68),(88:51:fb:8a:bc:42,-69),(c8:cb:b8:f9:8d:d7,-57),(c8:cb:b8:f9:8d:d5,-57),(00:14:d1:50:31:1c,-61),(28:f0:76:1e:ad:3a,-63),(c8:cb:b8:f9:8d:c3,-53),(c8:cb:b8:f9:8d:c6,-52),(c8:cb:b8:f9:8d:c4,-52),(c8:cb:b8:f9:8d:c1,-53),(c8:cb:b8:f9:8d:d3,-56),(c8:cb:b8:f9:8d:d1,-53),(88:51:fb:8a:bc:43,-71),(88:51:fb:8a:bc:46,-70),(c8:cb:b8:f9:8d:d4,-54),(88:51:fb:8a:bc:41,-73),(88:51:fb:8a:bc:44,-73),(c8:cb:b8:f9:8d:d6,-55),(00:22:6b:f4:34:8d,-55),(74:ea:3a:d6:67:04,-85),(00:14:6c:69:01:b8,-56),(bc:f1:f2:23:f7:42,-70),(bc:f1:f2:23:f7:43,-81),(00:03:52:2b:85:52,-88),

W (c8:cb:b8:f9:8d:c5,-49),(c8:cb:b8:f9:8d:c7,-49),(c8:cb:b8:f9:8d:c2,-49),(c8:cb:b8:f9:8d:c0,-51),(c8:cb:b8:f9:8d:d0,-58),(c8:cb:b8:f9:8d:d2,-55),(88:51:fb:8a:bc:40,-70),(88:51:fb:8a:bc:47,-70),(88:51:fb:8a:bc:45,-70),(88:51:fb:8a:bc:42,-71),(c8:cb:b8:f9:8d:d7,-55),(c8:cb:b8:f9:8d:d5,-54),(00:14:d1:50:31:1c,-60),(28:f0:76:1e:ad:3a,-67),(c8:cb:b8:f9:8d:c3,-50),(c8:cb:b8:f9:8d:c6,-51),(c8:cb:b8:f9:8d:c4,-50),(c8:cb:b8:f9:8d:c1,-49),(c8:cb:b8:f9:8d:d3,-56),(c8:cb:b8:f9:8d:d1,-54),(88:51:fb:8a:bc:43,-71),(88:51:fb:8a:bc:46,-75),(c8:cb:b8:f9:8d:d4,-54),(88:51:fb:8a:bc:41,-71),(88:51:fb:8a:bc:44,-70),(c8:cb:b8:f9:8d:d6,-55),(00:22:6b:f4:34:8d,-56),(74:ea:3a:d6:67:04,-85),(00:14:6c:69:01:b8,-55),(bc:f1:f2:23:f7:42,-70),(bc:f1:f2:23:f7:43,-81),(00:03:52:2b:85:52,-86),(88:51:fb:8a:bc:55,-63),(88:51:fb:8a:bc:52,-70),(88:51:fb:8a:bc:57,-74),(88:51:fb:8a:bc:50,-77),(00:3a:9a:4e:81:e2,-90),(88:51:fb:8a:bc:54,-63),(88:51:fb:8a:bc:51,-70),(88:51:fb:8a:bc:56,-72),(88:51:fb:8a:bc:53,-74),

0.0	6.0
