35.400005	5.4
W (88:51:fb:8a:bc:52,-37),(c8:cb:b8:f9:8d:c0,-57),(c8:cb:b8:f9:8d:c5,-56),(c8:cb:b8:f9:8d:c2,-56),(c8:cb:b8:f9:8d:c7,-56),(c8:cb:b8:f9:8d:c6,-57),(c8:cb:b8:f9:8d:c4,-56),(c8:cb:b8:f9:8d:c3,-56),(c8:cb:b8:f9:8d:d3,-69),(c8:cb:b8:f9:8d:d2,-71),(c8:cb:b8:f9:8d:d7,-68),(c8:cb:b8:f9:8d:c1,-56),(c8:cb:b8:f9:8d:d1,-73),(c8:cb:b8:f9:8d:d5,-69),(c8:cb:b8:f9:8d:d0,-71),(c8:cb:b8:f9:8d:d4,-68),(c8:cb:b8:f9:8d:d6,-67),(00:14:d1:50:31:1c,-54),(28:f0:76:1e:ad:3a,-64),(88:51:fb:8a:bc:50,-38),(d8:9d:67:91:d0:f0,-57),(88:51:fb:8a:bc:51,-43),(88:51:fb:8a:bc:53,-44),(d8:9d:67:91:d0:f3,-62),(88:51:fb:8a:bc:45,-45),(88:51:fb:8a:bc:47,-45),(88:51:fb:8a:bc:40,-45),(88:51:fb:8a:bc:42,-45),(00:23:33:a2:48:b1,-84),(88:51:fb:8a:bc:43,-46),(88:51:fb:8a:bc:46,-45),(88:51:fb:8a:bc:44,-45),(88:51:fb:8a:bc:41,-45),(88:51:fb:8a:bc:55,-36),(88:51:fb:8a:bc:57,-43),(20:c9:d0:19:33:83,-56),(d8:9d:67:91:d0:f2,-58),(d8:9d:67:91:d0:f5,-61),(00:23:33:a2:48:b8,-70),(00:23:33:a2:48:bd,-71),(00:23:33:a2:48:bc,-71),(00:23:33:a2:48:b7,-81),(00:23:33:a2:48:b4,-82),(20:4e:7f:6f:63:7f,-84),(bc:f1:f2:23:f7:40,-85),(00:3a:9a:51:b2:b7,-85),(00:3a:9a:51:b2:b1,-85),(00:3a:9a:51:ab:52,-85),(00:3a:9a:51:b2:b2,-86),(00:03:52:e5:44:41,-87),(00:03:52:e5:44:45,-89),(88:51:fb:8a:bc:56,-36),(88:51:fb:8a:bc:54,-37),(d8:9d:67:91:d0:f1,-60),(00:23:33:a2:48:b9,-71),(00:03:52:2b:84:08,-78),(00:03:52:2b:84:06,-79),(00:23:33:a2:48:b6,-83),(00:03:52:e5:44:49,-84),(00:03:52:e5:44:42,-87),(00:03:52:e5:44:46,-89),(0a:18:0a:35:58:14,-90),

W (88:51:fb:8a:bc:52,-31),(c8:cb:b8:f9:8d:c0,-52),(c8:cb:b8:f9:8d:c5,-52),(c8:cb:b8:f9:8d:c2,-52),(c8:cb:b8:f9:8d:c7,-52),(c8:cb:b8:f9:8d:c6,-53),(c8:cb:b8:f9:8d:c4,-52),(c8:cb:b8:f9:8d:c3,-52),(c8:cb:b8:f9:8d:d3,-67),(c8:cb:b8:f9:8d:d2,-67),(c8:cb:b8:f9:8d:d7,-68),(c8:cb:b8:f9:8d:c1,-52),(c8:cb:b8:f9:8d:d1,-74),(c8:cb:b8:f9:8d:d5,-69),(c8:cb:b8:f9:8d:d0,-75),(c8:cb:b8:f9:8d:d4,-68),(c8:cb:b8:f9:8d:d6,-69),(28:f0:76:1e:ad:3a,-64),(88:51:fb:8a:bc:50,-34),(d8:9d:67:91:d0:f0,-52),(88:51:fb:8a:bc:51,-33),(88:51:fb:8a:bc:53,-34),(d8:9d:67:91:d0:f3,-50),(88:51:fb:8a:bc:45,-39),(88:51:fb:8a:bc:47,-38),(88:51:fb:8a:bc:40,-39),(88:51:fb:8a:bc:42,-38),(00:23:33:a2:48:b1,-67),(88:51:fb:8a:bc:43,-39),(88:51:fb:8a:bc:46,-38),(88:51:fb:8a:bc:44,-38),(88:51:fb:8a:bc:41,-38),(88:51:fb:8a:bc:55,-53),(88:51:fb:8a:bc:57,-34),(20:c9:d0:19:33:83,-56),(d8:9d:67:91:d0:f2,-50),(d8:9d:67:91:d0:f5,-50),(00:23:33:a2:48:b8,-65),(00:23:33:a2:48:bd,-65),(00:23:33:a2:48:bc,-65),(00:23:33:a2:48:b7,-70),(00:23:33:a2:48:b4,-70),(20:4e:7f:6f:63:7f,-84),(bc:f1:f2:23:f7:40,-85),(00:3a:9a:51:b2:b7,-85),(00:3a:9a:51:b2:b1,-85),(00:3a:9a:51:ab:52,-77),(00:3a:9a:51:b2:b2,-86),(00:03:52:e5:44:41,-87),(00:03:52:e5:44:45,-89),(88:51:fb:8a:bc:56,-30),(88:51:fb:8a:bc:54,-31),(d8:9d:67:91:d0:f1,-50),(00:23:33:a2:48:b9,-65),(00:03:52:2b:84:08,-64),(00:03:52:2b:84:06,-63),(00:23:33:a2:48:b6,-67),(00:03:52:e5:44:49,-84),(00:03:52:e5:44:42,-87),(00:03:52:e5:44:46,-89),(0a:18:0a:35:58:14,-90),(00:03:52:2b:84:01,-56),(00:03:52:2b:84:05,-61),(00:23:33:a2:48:b3,-63),(20:4c:9e:ea:10:16,-68),(20:4c:9e:ea:10:1c,-69),(20:4c:9e:ea:10:1d,-69),(00:03:52:e3:8b:15,-65),(00:23:33:a2:48:b2,-66),(00:03:52:e3:8b:11,-66),(00:03:52:2b:89:c5,-67),(00:03:52:2b:89:c1,-68),(00:3a:9a:51:ab:5d,-77),(00:03:52:29:ca:d5,-75),(d8:9d:67:91:d0:f4,-47),(00:03:52:2b:84:02,-60),(00:03:52:e3:85:59,-63),(20:4c:9e:ea:10:19,-68),(00:03:52:e3:8b:16,-66),(00:03:52:2b:89:c6,-67),(00:03:52:2b:89:c2,-67),(00:03:52:e3:8b:12,-68),(00:03:52:29:ca:d6,-68),(00:03:52:e3:8b:18,-68),(00:03:52:2b:89:c8,-71),(00:03:52:2b:89:c9,-72),(00:03:52:29:ca:d2,-75),

W (88:51:fb:8a:bc:52,-32),(c8:cb:b8:f9:8d:c0,-52),(c8:cb:b8:f9:8d:c5,-52),(c8:cb:b8:f9:8d:c2,-52),(c8:cb:b8:f9:8d:c7,-52),(c8:cb:b8:f9:8d:c6,-53),(c8:cb:b8:f9:8d:c4,-53),(c8:cb:b8:f9:8d:c3,-52),(c8:cb:b8:f9:8d:d3,-65),(c8:cb:b8:f9:8d:d2,-67),(c8:cb:b8:f9:8d:d7,-72),(c8:cb:b8:f9:8d:c1,-52),(c8:cb:b8:f9:8d:d1,-70),(c8:cb:b8:f9:8d:d5,-73),(c8:cb:b8:f9:8d:d0,-75),(c8:cb:b8:f9:8d:d4,-76),(c8:cb:b8:f9:8d:d6,-74),(88:51:fb:8a:bc:50,-46),(d8:9d:67:91:d0:f0,-52),(88:51:fb:8a:bc:51,-33),(88:51:fb:8a:bc:53,-33),(d8:9d:67:91:d0:f3,-50),(88:51:fb:8a:bc:45,-36),(88:51:fb:8a:bc:47,-37),(88:51:fb:8a:bc:40,-37),(88:51:fb:8a:bc:42,-36),(00:23:33:a2:48:b1,-70),(88:51:fb:8a:bc:43,-37),(88:51:fb:8a:bc:46,-36),(88:51:fb:8a:bc:44,-37),(88:51:fb:8a:bc:41,-37),(88:51:fb:8a:bc:55,-37),(88:51:fb:8a:bc:57,-33),(20:c9:d0:19:33:83,-56),(d8:9d:67:91:d0:f2,-50),(d8:9d:67:91:d0:f5,-48),(00:23:33:a2:48:b8,-60),(00:23:33:a2:48:bd,-60),(00:23:33:a2:48:bc,-60),(00:23:33:a2:48:b7,-70),(00:23:33:a2:48:b4,-70),(00:3a:9a:51:ab:52,-77),(00:03:52:e5:44:41,-75),(00:03:52:e5:44:45,-75),(88:51:fb:8a:bc:56,-52),(88:51:fb:8a:bc:54,-33),(d8:9d:67:91:d0:f1,-50),(00:23:33:a2:48:b9,-60),(00:03:52:2b:84:08,-57),(00:03:52:2b:84:06,-60),(00:23:33:a2:48:b6,-71),(00:03:52:e5:44:49,-75),(00:03:52:e5:44:42,-72),(00:03:52:e5:44:46,-72),(00:03:52:2b:84:01,-60),(00:03:52:2b:84:05,-61),(00:23:33:a2:48:b3,-67),(20:4c:9e:ea:10:16,-68),(20:4c:9e:ea:10:1c,-69),(20:4c:9e:ea:10:1d,-69),(00:03:52:e3:8b:15,-74),(00:23:33:a2:48:b2,-71),(00:03:52:e3:8b:11,-74),(00:03:52:2b:89:c5,-68),(00:03:52:2b:89:c1,-69),(00:3a:9a:51:ab:5d,-77),(00:03:52:29:ca:d5,-75),(d8:9d:67:91:d0:f4,-47),(00:03:52:2b:84:02,-60),(00:03:52:e3:85:59,-63),(20:4c:9e:ea:10:19,-68),(00:03:52:e3:8b:16,-74),(00:03:52:2b:89:c6,-72),(00:03:52:2b:89:c2,-72),(00:03:52:e3:8b:12,-71),(00:03:52:29:ca:d6,-76),(00:03:52:e3:8b:18,-68),(00:03:52:2b:89:c8,-71),(00:03:52:2b:89:c9,-72),(00:03:52:29:ca:d2,-77),(00:03:52:e3:85:51,-65),(00:03:52:e3:85:55,-69),(2c:30:33:1d:7a:f0,-70),(00:1e:4a:56:20:48,-80),(00:03:52:29:ca:d1,-77),(00:03:52:e3:85:58,-66),(00:03:52:e3:85:52,-69),(00:03:52:29:ca:d8,-74),(00:03:52:e5:44:48,-75),

W (88:51:fb:8a:bc:52,-32),(c8:cb:b8:f9:8d:c0,-52),(c8:cb:b8:f9:8d:c5,-52),(c8:cb:b8:f9:8d:c2,-52),(c8:cb:b8:f9:8d:c7,-52),(c8:cb:b8:f9:8d:c6,-53),(c8:cb:b8:f9:8d:c4,-53),(c8:cb:b8:f9:8d:c3,-52),(c8:cb:b8:f9:8d:d3,-65),(c8:cb:b8:f9:8d:d2,-67),(c8:cb:b8:f9:8d:d7,-72),(c8:cb:b8:f9:8d:c1,-52),(c8:cb:b8:f9:8d:d1,-70),(c8:cb:b8:f9:8d:d5,-73),(c8:cb:b8:f9:8d:d0,-75),(c8:cb:b8:f9:8d:d4,-76),(c8:cb:b8:f9:8d:d6,-74),(88:51:fb:8a:bc:50,-46),(d8:9d:67:91:d0:f0,-52),(88:51:fb:8a:bc:51,-33),(88:51:fb:8a:bc:53,-33),(d8:9d:67:91:d0:f3,-50),(88:51:fb:8a:bc:45,-36),(88:51:fb:8a:bc:47,-37),(88:51:fb:8a:bc:40,-37),(88:51:fb:8a:bc:42,-36),(00:23:33:a2:48:b1,-70),(88:51:fb:8a:bc:43,-37),(88:51:fb:8a:bc:46,-36),(88:51:fb:8a:bc:44,-37),(88:51:fb:8a:bc:41,-37),(88:51:fb:8a:bc:55,-37),(88:51:fb:8a:bc:57,-33),(20:c9:d0:19:33:83,-56),(d8:9d:67:91:d0:f2,-50),(d8:9d:67:91:d0:f5,-48),(00:23:33:a2:48:b8,-60),(00:23:33:a2:48:bd,-60),(00:23:33:a2:48:bc,-60),(00:23:33:a2:48:b7,-70),(00:23:33:a2:48:b4,-70),(00:3a:9a:51:ab:52,-77),(00:03:52:e5:44:41,-75),(00:03:52:e5:44:45,-75),(88:51:fb:8a:bc:56,-52),(88:51:fb:8a:bc:54,-33),(d8:9d:67:91:d0:f1,-50),(00:23:33:a2:48:b9,-60),(00:03:52:2b:84:08,-57),(00:03:52:2b:84:06,-60),(00:23:33:a2:48:b6,-71),(00:03:52:e5:44:49,-75),(00:03:52:e5:44:42,-72),(00:03:52:e5:44:46,-72),(00:03:52:2b:84:01,-60),(00:03:52:2b:84:05,-61),(00:23:33:a2:48:b3,-67),(20:4c:9e:ea:10:16,-68),(20:4c:9e:ea:10:1c,-69),(20:4c:9e:ea:10:1d,-69),(00:03:52:e3:8b:15,-74),(00:23:33:a2:48:b2,-71),(00:03:52:e3:8b:11,-74),(00:03:52:2b:89:c5,-68),(00:03:52:2b:89:c1,-69),(00:3a:9a:51:ab:5d,-77),(00:03:52:29:ca:d5,-75),(d8:9d:67:91:d0:f4,-47),(00:03:52:2b:84:02,-60),(00:03:52:e3:85:59,-63),(20:4c:9e:ea:10:19,-68),(00:03:52:e3:8b:16,-74),(00:03:52:2b:89:c6,-72),(00:03:52:2b:89:c2,-72),(00:03:52:e3:8b:12,-71),(00:03:52:29:ca:d6,-76),(00:03:52:e3:8b:18,-68),(00:03:52:2b:89:c8,-71),(00:03:52:2b:89:c9,-72),(00:03:52:29:ca:d2,-77),(00:03:52:e3:85:51,-65),(00:03:52:e3:85:55,-69),(2c:30:33:1d:7a:f0,-70),(00:1e:4a:56:20:48,-80),(00:03:52:29:ca:d1,-77),(00:03:52:e3:85:58,-66),(00:03:52:e3:85:52,-69),(00:03:52:29:ca:d8,-74),(00:03:52:e5:44:48,-75),

36.000004	5.4
